,Table links,Table name
t_001,https://ecode360.com/26797919,Table 20-2 | Permitted and Specially Permitted Uses:
t_002,https://ecode360.com/47331888,TABLE 9-7-2.2
t_003,https://ecode360.com/39346759,7-102  Primary residential uses.
t_004,https://library.municode.com/co/collbran/codes/code_of_ordinances?nodeId=CH18LAUSRE_ART18.12ZOGE_18.12.180SCUS,18.12.180 - Schedule of Uses
t_005,https://library.municode.com/co/rifle/codes/charter_and_municipal_code?nodeId=CH16LAUSDE_ARTIIIZO_DIV3REDI_S16-3-320SCUSREDI,Sec. 16-3-320. - Schedule of uses for residential districts
t_006,https://library.municode.com/co/avon/codes/home_rule_charter_and_code?nodeId=CD_TIT7DECO_CH7.24USRE_7.24.040TAALUS,Table 7.24-1
t_007,https://ecode360.com/26797919,Table 20-3
t_008,https://ecode360.com/47331888,TABLE 9-7-2.3
t_009,https://codehub.gridics.com/us/fl/miami-beach#/213acba4-f833-44f6-89e6-ed50d7ad75f9/6bf8d7a0-6b2a-4778-9028-3337cb696753/ff858953-6ec3-45bd-aa44-4ab5e56f91b6/213acba4-f833-44f6-89e6-ed50d7ad75f9--6bf8d7a0-6b2a-4778-9028-3337cb696753--ff858953-6ec3-45bd-aa44-4ab5e56f91b6--14dd0260-7b9b-4edd-b228-8e2f73b2eb73, 5.2.4 VEHICLE OFF-STREET PARKING REQUIREMENTS
t_010,https://library.municode.com/sc/horry_county/codes/code_of_ordinances?nodeId=COOR_APXBZO_ARTIIESDI_S205DIDEST,Table 2-1 DIMENSIONAL AND DENSITY STANDARDS
t_011,https://codelibrary.amlegal.com/codes/montgomerycounty/latest/montgomeryco_md_zone2014/0-0-0-778,Section 3.1.6. Use Table
t_012,https://library.municode.com/sc/horry_county/codes/code_of_ordinances?nodeId=COOR_APXBZO_ARTIIESDI_S204ZOUSTA,SECTION 204.1
t_013,https://ecode360.com/43893791,Table 17.08.020
t_014,https://library.municode.com/ca/eastvale/codes/code_of_ordinances?nodeId=PTBLADECO_TIT120PLZO_CH120.04STRESPUS_S120.04.010ACDWUN,CHAPTER 120.04. - STANDARDS RELATED TO SPECIFIC USES
t_015,https://ecode360.com/28600971,"Table 2 ""R-R"""
t_016,https://petaluma.municipal.codes/ZoningOrds/4.Tables,Table 4.12. 
t_017,https://ecode360.com/43893791,Table 17.08.030
t_018,https://library.municode.com/tx/lewisville/codes/unified_development_code?nodeId=SP2ZOREDERE_ARTVIIUSPARESUUSRECEDIRE_CHVII.2ALUSDI_SVII.2.4USDI,EXHIBIT VII.2.3-4
t_019,https://library.municode.com/sc/horry_county/codes/code_of_ordinances?nodeId=COOR_APXBZO_ARTIIESDI_S205DIDEST,TABLE 1: YARD & HEIGHT REQUIREMENTS
t_020,https://library.municode.com/sc/horry_county/codes/code_of_ordinances?nodeId=COOR_APXBZO_ARTVIIIOVZO_DIV2COOVZO_S802HI501OVZO, SIGNAGE ALLOWED BY ROAD FRONTAGE 
t_021,https://library.municode.com/sc/horry_county/codes/code_of_ordinances?nodeId=COOR_APXBZO_ARTIIESDI_S205DIDEST,TABLE 4: MRD-P PERIMETER BUFFER REQUIREMENTS
t_022,https://library.municode.com/sc/horry_county/codes/code_of_ordinances?nodeId=COOR_APXBZO_ARTIIESDI_S205DIDEST,Table 2-5 (CC) COMMUNITY COMMERCIAL DISTRICT DIMENSIONAL STANDARDS TABLE 
t_023,https://library.municode.com/sc/horry_county/codes/code_of_ordinances?nodeId=COOR_APXBZO_ARTIIESDI_S205DIDEST, Table 2-7 (MI) MARINE INDUSTRIAL DISTRICT DIMENSIONAL STANDARDS 
t_024,https://library.municode.com/sc/horry_county/codes/code_of_ordinances?nodeId=COOR_APXBZO_ARTIIESDI_S205DIDEST,Table 2-4 (HI) HEAVY INDUSTRIAL DISTRICT
t_025,https://library.municode.com/sc/horry_county/codes/code_of_ordinances?nodeId=COOR_APXBZO_ARTIIESDI_S205DIDEST,MRD-P YARD & HEIGHT REQUIREMENTS 
t_026,https://library.municode.com/mo/lebanon/codes/code_of_ordinances?nodeId=COOR_CH48ZO_ARTIIUSRE_DIV1GE_S48-32PECOUSTA,Sec. 48-273. - Minimum lot area and width.
t_027,https://library.municode.com/ca/butte_county/codes/code_of_ordinances?nodeId=CH24ZO_ARTIIZODILAUSDEST_DIV3REZO_24-19LAUSREREZO,TABLE 24-26-1 PERMITTED LAND USES IN THE INDUSTRIAL ZONES [1] [2] 
t_028,https://library.municode.com/mo/mexico/codes/code_of_ordinances?nodeId=COOR_CH42ZO_ARTIVDIDIREGE_S42-212PEUSTA,SECTION 42-212 PERMITTED USE TABLE 
t_029,https://library.municode.com/mo/moberly/codes/code_of_ordinances?nodeId=COOR_CH46ZOPLDE_ARTIIIUSST_S46-118USTA, Sec. 46-118. - Use table. 
t_030,https://library.municode.com/mo/jefferson_city/codes/code_of_ordinances?nodeId=CD_ORD_CH35ZOCO_ARTIIDIRE_S35-28MAPECOSPEXUSLAUSCLUSNOLI,Exhibit 35-28 : Land Uses Authorized in Zoning Districts
t_031,https://library.municode.com/ca/eastvale/codes/code_of_ordinances?nodeId=PTBLADECO_TIT120PLZO_CH120.03ZODIRE_S120.03.030COINPEUSDEST,Sec. 120.03.030. - Commercial and industrial permitted uses and development standards.
t_032,https://ecode360.com/27669356,Section 405.920 Tables - Use
t_033,https://library.municode.com/ca/woodlake/codes/code_of_ordinances?nodeId=TIT17ZOOR_CH17.08LAUSTA_17.08.030COOFINLAUSTA,Table 17.08.030-1 Commercial
t_034,https://library.municode.com/tx/lewisville/codes/unified_development_code?nodeId=COAP_APXGIHCOCOSSTSTDESTTRSSTSTDEST,APPENDIX G: - IH-35E
t_035,https://library.municode.com/ca/butte_county/codes/code_of_ordinances?nodeId=CH24ZO_ARTIIZODILAUSDEST_DIV1AGZO_24-13LAUSREAGZO,TABLE 24-13-1 PERMITTED LAND USES IN THE AGRICULTURE ZONES [1] [2]
t_036,https://ecode360.com/42654994,10-2.1020 Land use regulations: IC-1 industrial-commercial zone. 
t_037,https://online.encodeplus.com/regs/washington-dc/doc-viewer.aspx?secid=717#secid-1046,TABLE C � 901.1: LOADING BERTHS AND SERVICE/DELIVERY SPACES
t_038,https://codelibrary.amlegal.com/codes/taftca/latest/taft_ca/0-0-0-6592,6-5-3: USE REGULATIONS
t_039,https://codelibrary.amlegal.com/codes/taftca/latest/taft_ca/0-0-0-9546,6-15-4: SIGN REGULATIONS
t_040,https://library.municode.com/mo/branson/codes/code_of_ordinances?nodeId=MUCO_CH94ZO_ARTIVUS_S94-60TAPEUS,Table 94-60.1 Permitted Uses
t_041,https://library.municode.com/tx/lewisville/codes/unified_development_code?nodeId=SP2ZOREDERE_ARTVIZODI_CHVI.8OVDI_SVI.8.1IHCOOVDI, EXHIBIT VI.8.1-6. APPLICABILITY MATRIX
t_042,https://library.municode.com/mo/jefferson_city/codes/code_of_ordinances?nodeId=CD_ORD_CH35ZOCO_ARTVSIDEIMST_S35-51DEDIST,EXHIBIT 35-58A: OFF-STREET PARKING REQUIREMENTS
t_043,https://library.municode.com/mo/north_kansas_city/codes/code_of_ordinances?nodeId=TIT17ZO_CH17.16REDEST_17.16.020BUTYDEST,17.16.020 - Building type and development standards.
t_044,https://library.municode.com/ca/butte_county/codes/code_of_ordinances?nodeId=CH24ZO_ARTIIZODILAUSDEST_DIV3REZO_24-20DESTREZO,TABLE 24-20-1 PARCEL SIZE AND DENSITY FOR RESIDENTIAL ZONES
t_045,https://petaluma.municipal.codes/ZoningOrds/4.Tables,Table 4.3
t_046,https://codelibrary.amlegal.com/codes/taftca/latest/taft_ca/0-0-0-9249,TABLE 14.C
t_047,https://library.municode.com/ca/butte_county/codes/code_of_ordinances?nodeId=CH24ZO_ARTIENAP_DIV3ZOZOMA_24-11ZOZOMA,TABLE 24-11-1 BASE ZONES
t_048,https://library.municode.com/ca/eastvale/codes/code_of_ordinances?nodeId=PTBLADECO_TIT120PLZO_CH120.05DEST_S120.05.060OREVEPA,Sec. 120.05.060. - Off-street vehicle parking.
t_049,https://library.municode.com/tx/lewisville/codes/unified_development_code?nodeId=SP3DEDEST_ARTVIIIOREPALOST_CHVIII.1OREPAST_SVIII.1.4PAREUS,EXHIBIT VIII.1.4-1 - MINIMUM PARKING REQUIREMENT
t_050,https://library.municode.com/mo/jefferson_city/codes/code_of_ordinances?nodeId=CD_ORD_CH35ZOCO_ARTVSIDEIMST_S35-59SCBUST,"Exhibit 35-59A. Landscaping, Screening & Bufferyards Between Zoning Districts"
t_051,
